topic,a,b,c,d,f,g,h,j,k,l,m,p,q,r,t,v,w,x
medicine,5,5,4,4,2,1,0,0,0,2,0,0,1,0,0,2,0,0
biology,4,4,5,5,2,0,0,0,3,0,2,0,0,0,0,1,0,3
chemistry ,4,4,4,2,4,1,0,4,0,1,1,0,0,0,0,0,0,3
psychology,2,5,3,1,1,1,0,0,3,4,3,0,2,0,0,2,0,0
animals,1,3,2,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0
maths,1,2,1,1,5,5,5,0,4,0,0,0,0,0,0,0,0,3
engineering,0,0,0,0,5,5,5,3,2,0,0,0,0,0,0,0,0,0
computing,0,0,0,0,5,4,5,4,2,1,0,4,0,0,0,0,0,0
physics,1,3,1,1,5,4,4,2,2,0,0,0,0,0,0,0,0,3
geography,0,0,0,0,3,3,2,5,3,3,0,0,2,1,1,3,0,0
history,0,0,0,0,0,0,1,0,2,4,2,3,5,4,2,5,0,0
english,0,0,0,0,0,0,0,0,0,3,4,5,5,4,2,2,4,3
debating,0,0,0,0,0,0,0,0,0,3,5,4,3,2,2,4,0,3
creative writing,0,0,0,0,0,0,0,0,0,3,3,3,4,3,3,4,4,0
archaeology,1,1,3,2,4,1,0,0,2,4,0,3,4,0,0,5,0,0
ancient history,0,0,0,0,1,0,0,0,3,3,2,1,4,3,3,5,0,0
politics,0,0,0,0,0,0,0,0,0,4,4,4,3,4,3,5,0,2
philosophy,0,1,0,0,0,0,1,0,0,5,2,1,4,4,2,5,0,0
languages,0,1,0,0,0,0,1,0,0,5,4,5,5,5,5,3,0,0
art,0,0,0,0,0,0,0,0,4,3,0,4,4,2,2,4,5,3
drawing,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,3,5,1
photography,0,0,0,0,0,0,0,0,4,5,0,4,4,2,2,3,5,0
sculpting,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,3,5,2
fashion,0,0,0,0,0,0,0,0,2,4,0,4,3,1,2,3,5,1
design ,0,0,0,0,0,0,3,0,5,4,0,4,3,2,2,3,5,0
music,0,0,0,0,0,0,4,3,0,4,0,5,4,0,0,3,5,3
graphics,0,0,0,0,0,3,4,5,4,3,0,4,0,0,0,0,5,0
business,0,0,0,0,0,2,3,0,2,5,4,4,0,3,3,0,0,0
it,0,0,0,0,3,3,4,4,0,2,2,4,0,0,0,0,0,0
hospitality,0,0,0,0,0,0,0,0,1,5,2,2,0,1,0,0,0,0
nutrition,2,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
sports,2,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
teaching,0,0,0,0,0,2,1,2,0,5,1,2,2,3,3,0,2,5
dance,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,3,0,3
drama,0,0,0,0,0,0,0,0,0,5,0,3,5,3,0,4,0,3
construction,0,0,0,0,2,2,3,0,4,0,2,0,0,0,0,0,0,0
outdoors,0,2,1,5,3,0,2,3,3,3,0,0,0,0,0,2,1,0
accounting ,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0
economics,0,0,0,0,0,4,0,1,1,0,3,4,0,0,0,0,0,0
